"","Rank","Title","Description","Runtime","Rating","Votes","Gross","Director","Actor","Metascore","Genre","Genre2","Genre3"
"63",63,"Dangal","    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",161,8.4,128031,12.39,"Nitesh Tiwari","Aamir Khan",NA,"Action","Biography","Drama"
"64",64,"Gods of Egypt","    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,5.4,96620,31.15,"Alex Proyas","Brenton Thwaites",25,"Action","Adventure","Fantasy"
"65",65,"Now You See Me 2","    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",129,6.5,220770,65.08,"Jon M. Chu","Jesse Eisenberg",46,"Action","Adventure","Comedy"
"66",66,"Nerve","    A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",96,6.5,104621,38.56,"Henry Joost","Emma Roberts",58,"Action","Adventure","Crime"
"67",67,"Sausage Party","    A sausage strives to discover the truth about his existence.",89,6.2,161526,97.66,"Greg Tiernan","Seth Rogen",66,"Animation","Adventure","Comedy"
"68",68,"Allied","    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",124,7.1,128325,40.07,"Robert Zemeckis","Brad Pitt",60,"Action","Drama","Romance"
"69",69,"The Edge of Seventeen","    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",104,7.3,90258,14.26,"Kelly Fremon Craig","Hailee Steinfeld",77,"Comedy","Drama",NA
"70",70,"Hush","    A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.",82,6.6,82488,NA,"Mike Flanagan","John Gallagher Jr.",67,"Horror","Thriller",NA
"71",71,"Patriots Day","    The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",133,7.4,78014,31.89,"Peter Berg","Mark Wahlberg",69,"Action","Crime","Drama"
"72",72,"The Exception","    A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",107,6.8,8804,0.61,"David Leveaux","Lily James",60,"Drama","Romance","War"
"73",73,"10 Cloverfield Lane","    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",103,7.2,264896,71.9,"Dan Trachtenberg","John Goodman",76,"Drama","Horror","Mystery"
"74",74,"Allegiant","    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",120,5.7,97359,66.18,"Robert Schwentke","Shailene Woodley",33,"Action","Adventure","Mystery"
"75",75,"Sully","    The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",96,7.4,207781,125,"Clint Eastwood","Tom Hanks",74,"Biography","Drama",NA
"76",76,"Independence Day: Resurgence","    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",120,5.2,157127,103.1,"Roland Emmerich","Liam Hemsworth",32,"Action","Adventure","Sci"
"77",77,"Grave","    An innocent teenager, studying to be a vet, develops a craving for human flesh.",99,7,51180,0.51,"Julia Ducournau","Garance Marillier",81,"Drama","Horror",NA
"78",78,"Criminal","    In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",113,6.3,52775,14.27,"Ariel Vromen","Kevin Costner",36,"Action","Crime","Drama"
"79",79,"Deepwater Horizon","    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",107,7.1,135705,61.28,"Peter Berg","Mark Wahlberg",68,"Action","Drama","History"
"80",80,"The Choice","    Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.",111,6.6,30952,18.71,"Ross Katz","Benjamin Walker",26,"Drama","Romance",NA
"81",81,"Finding Dory","    The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",97,7.3,217804,486.3,"Andrew Stanton","Ellen DeGeneres",77,"Animation","Adventure","Comedy"
"82",82,"Bad Moms","    When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",100,6.2,102958,113.2,"Jon Lucas","Mila Kunis",60,"Comedy",NA,NA
"83",83,"The Huntsman: Winter's War","    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",114,6.1,89208,48.39,"Cedric Nicolas-Troyan","Chris Hemsworth",35,"Action","Adventure","Drama"
"84",84,"Alice Through the Looking Glass","    Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.",113,6.2,81716,77.04,"James Bobin","Mia Wasikowska",34,"Adventure","Family","Fantasy"
"85",85,"Terrifier","    A maniacal clown terrorizes three young women on Halloween night and everyone else who stands in his way.",82,5.6,9563,NA,"Damien Leone","Jenna Kanell",NA,"Horror","Thriller",NA
"86",86,"Swiss Army Man","    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.",97,7,93846,4.21,"Dan Kwan","Paul Dano",64,"Comedy","Drama","Fantasy"
"87",87,"Ice Age: Collision Course","    When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",94,5.7,50175,64.06,"Mike Thurmeier","Ray Romano",34,"Animation","Adventure","Comedy"
"88",88,"Sing Street","    A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.",106,8,76104,3.24,"John Carney","Ferdia Walsh-Peelo",79,"Comedy","Drama","Music"
"89",89,"All I See Is You","    A blind woman's relationship with her husband changes when she regains her sight and discovers disturbing details about themselves.",109,5.4,8727,0.22,"Marc Forster","Blake Lively",43,"Drama","Mystery","Romance"
"90",90,"A Cure for Wellness","    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",146,6.4,72448,8.11,"Gore Verbinski","Dane DeHaan",47,"Drama","Fantasy","Horror"
"91",91,"Lights Out","    Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",81,6.3,103096,67.27,"David F. Sandberg","Teresa Palmer",58,"Drama","Horror","Mystery"
"92",92,"Central Intelligence","    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",107,6.3,142368,127.4,"Rawson Marshall Thurber","Dwayne Johnson",52,"Action","Comedy","Crime"
"93",93,"The Love Witch","    A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",120,6.2,9795,0.23,"Anna Biller","Samantha Robinson",82,"Comedy","Horror","Romance"
"94",94,"Kubo and the Two Strings","    A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.",101,7.8,107525,48.02,"Travis Knight","Charlize Theron",84,"Animation","Action","Adventure"
"95",95,"My Big Fat Greek Wedding 2","    A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.",94,6,26289,59.57,"Kirk Jones","Nia Vardalos",37,"Comedy","Romance",NA
"96",96,"Hail, Caesar!","    A Hollywood fixer in the 1950s works to keep the studio's stars in line.",106,6.3,112948,30.08,"Ethan Coen","Josh Brolin",72,"Comedy","Drama","Music"
"97",97,"Live by Night","    A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",129,6.4,47942,10.38,"Ben Affleck","Ben Affleck",49,"Action","Crime","Drama"
"98",98,"Colossal","    Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",109,6.2,51956,3.02,"Nacho Vigalondo","Anne Hathaway",70,"Comedy","Drama","Fantasy"
"99",99,"Mike and Dave Need Wedding Dates","    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",98,6,76288,46.01,"Jake Szymanski","Zac Efron",51,"Comedy","Romance",NA
"100",100,"The Founder","    The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",115,7.2,101215,12.79,"John Lee Hancock","Michael Keaton",66,"Biography","Drama","History"
